"LEI_Code","NSA","Period","Item","Label","Portfolio","MKT_Modprod","Mkt_risk","Amount","Row","Column","Sheet"
"0W2PZJM8XOY22M4GG883","DE","202409","2520401","TOTAL RISK EXPOSURE AMOUNT","1","0","0","2226.17575975999","19","3","Market Risk"
"0W2PZJM8XOY22M4GG883","DE","202409","2520401","TOTAL RISK EXPOSURE AMOUNT","5","0","0","2673.09284638","19","14","Market Risk"
"0W2PZJM8XOY22M4GG883","DE","202409","2520402","TOTAL RISK EXPOSURE AMOUNT - by Product","1","1","0","1261.91383737","11","3","Market Risk"
"0W2PZJM8XOY22M4GG883","DE","202409","2520402","TOTAL RISK EXPOSURE AMOUNT - by Product","1","2","0","805.83306784","14","3","Market Risk"
"0W2PZJM8XOY22M4GG883","DE","202409","2520402","TOTAL RISK EXPOSURE AMOUNT - by Product","1","3","0","158.4247855","17","3","Market Risk"
"0W2PZJM8XOY22M4GG883","DE","202409","2520402","TOTAL RISK EXPOSURE AMOUNT - by Product","1","4","0","0.00406905","18","3","Market Risk"
"0W2PZJM8XOY22M4GG883","DE","202409","2520403","TOTAL RISK EXPOSURE AMOUNT - Traded Debt Instruments - by Risk","1","1","1","0","12","3","Market Risk"
"0W2PZJM8XOY22M4GG883","DE","202409","2520403","TOTAL RISK EXPOSURE AMOUNT - Traded Debt Instruments - by Risk","1","1","2","1261.913837375","13","3","Market Risk"
"0W2PZJM8XOY22M4GG883","DE","202409","2520404","TOTAL RISK EXPOSURE AMOUNT - Equities - by Risk","1","2","1","0","15","3","Market Risk"
"0W2PZJM8XOY22M4GG883","DE","202409","2520404","TOTAL RISK EXPOSURE AMOUNT - Equities - by Risk","1","2","2","805.833067875","16","3","Market Risk"
"0W2PZJM8XOY22M4GG883","DE","202409","2520411","VAR - MULTIPLICATION FACTOR (mc) x AVERAGE OF PREVIOUS 60 WORKING DAYS (VaRavg)","5","0","0","37.48135855","19","5","Market Risk"
"0W2PZJM8XOY22M4GG883","DE","202409","2520412","VAR - MULTIPLICATION FACTOR (mc) x AVERAGE OF PREVIOUS 60 WORKING DAYS (VaRavg) - by Product","5","1","0","34.23033334","11","5","Market Risk"
"0W2PZJM8XOY22M4GG883","DE","202409","2520412","VAR - MULTIPLICATION FACTOR (mc) x AVERAGE OF PREVIOUS 60 WORKING DAYS (VaRavg) - by Product","5","2","0","14.02766524","14","5","Market Risk"
"0W2PZJM8XOY22M4GG883","DE","202409","2520412","VAR - MULTIPLICATION FACTOR (mc) x AVERAGE OF PREVIOUS 60 WORKING DAYS (VaRavg) - by Product","5","3","0","0","17","5","Market Risk"
"0W2PZJM8XOY22M4GG883","DE","202409","2520412","VAR - MULTIPLICATION FACTOR (mc) x AVERAGE OF PREVIOUS 60 WORKING DAYS (VaRavg) - by Product","5","4","0","0","18","5","Market Risk"
"0W2PZJM8XOY22M4GG883","DE","202409","2520413","VAR - MULTIPLICATION FACTOR (mc) x AVERAGE OF PREVIOUS 60 WORKING DAYS (VaRavg) - Traded Debt Instruments - by Risk","5","1","1","34.23033334","12","5","Market Risk"
